DataName,Avg. Pth,Std. Dev. Pth,Median. Pth,Avg. Pth,Std. Dev. Pth,Median. Pth,Avg. Pth,Std. Dev. Pth,Median. Pth,Avg. Pth,Std. Dev. Pth,Median. Pth,Avg. Pth,Std. Dev. Pth,Median. Pth
Units,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W
Size,50nm,50nm,50nm,80nm,80nm,80nm,120nm,120nm,120nm,170nm,170nm,170nm,220nm,220nm,220nm
DataValue,7.510470000000001e-05,2.710505431213761e-20,7.510469999999999e-05,6.59014e-05,0.0,6.59014e-05,0.0001346723,0.0,0.0001346723,0.00015803100000000005,2.710505431213761e-20,0.00015803100000000002,0.0003411259999999998,1.6263032587282567e-19,0.00034112599999999997
DataValue,6.357400000000004e-05,2.710505431213761e-20,6.357400000000001e-05,6.152499999999998e-05,1.3552527156068805e-20,6.152499999999999e-05,0.002803724999999999,8.673617379884035e-19,0.002803725,0.00017103330000000006,5.421010862427522e-20,0.0001710333,0.000475312,0.0,0.000475312
DataValue,5.8452800000000004e-05,6.776263578034403e-21,5.84528e-05,5.218889999999998e-05,2.0328790734103208e-20,5.21889e-05,9.322749999999997e-05,2.710505431213761e-20,9.32275e-05,0.00022721699999999994,8.131516293641283e-20,0.00022721700000000002,0.00026775700000000003,0.0,0.00026775700000000003
DataValue,5.63941e-05,6.776263578034403e-21,5.6394099999999996e-05,7.594730000000002e-05,2.710505431213761e-20,7.594729999999999e-05,0.002444805,0.0,0.002444805,0.00014806999999999998,2.710505431213761e-20,0.00014807,0.0003389769999999998,2.168404344971009e-19,0.000338977
DataValue,5.931060000000001e-05,6.776263578034403e-21,5.93106e-05,8.023000000000002e-05,2.710505431213761e-20,8.023e-05,7.657650000000001e-05,1.3552527156068805e-20,7.65765e-05,0.0001267497,2.710505431213761e-20,0.00012674970000000002,0.00019345000000000004,2.710505431213761e-20,0.00019345
DataValue,5.962920000000003e-05,2.0328790734103208e-20,5.962920000000001e-05,7.366250000000001e-05,1.3552527156068805e-20,7.36625e-05,0.0022566629999999995,8.673617379884035e-19,0.0022566630000000003,0.0002592590000000001,5.421010862427522e-20,0.000259259,3.7134499999999995e-05,6.776263578034403e-21,3.71345e-05
DataValue,6.460920000000003e-05,2.710505431213761e-20,6.46092e-05,0.003891073000000001,1.3010426069826053e-18,0.0038910729999999997,0.00013851749999999998,0.0,0.00013851749999999998,0.00011818500000000001,1.3552527156068805e-20,0.000118185,0.000173166,2.710505431213761e-20,0.00017316600000000002
DataValue,6.5688e-05,0.0,6.5688e-05,7.2709e-05,1.3552527156068805e-20,7.270899999999998e-05,0.00013749570000000003,2.710505431213761e-20,0.0001374957,0.00015954500000000003,2.710505431213761e-20,0.000159545,7.26726e-05,0.0,7.26726e-05
DataValue,6.46884e-05,0.0,6.46884e-05,8.686079999999997e-05,2.710505431213761e-20,8.68608e-05,0.0032738999999999997,0.0,0.0032738999999999997,0.000237096,2.710505431213761e-20,0.00023709600000000004,0.000534392,1.0842021724855044e-19,0.0005343920000000001
DataValue,5.4145799999999986e-05,1.3552527156068805e-20,5.41458e-05,0.0026727570000000017,1.734723475976807e-18,0.002672757,0.00014390180000000002,0.0,0.00014390180000000002,0.0001909389,2.710505431213761e-20,0.00019093890000000002,0.000414909,5.421010862427522e-20,0.00041490900000000004
