DataName,Avg. Rth,Std. Dev. Rth,Median. Rth,Avg. Rth,Std. Dev. Rth,Median. Rth,Avg. Rth,Std. Dev. Rth,Median. Rth,Avg. Rth,Std. Dev. Rth,Median. Rth,Avg. Rth,Std. Dev. Rth,Median. Rth
Units,\g(W),\g(W),\g(W),\g(W),\g(W),\g(W),\g(W),\g(W),\g(W),\g(W),\g(W),\g(W),\g(W),\g(W),\g(W)
Size,50nm,50nm,50nm,80nm,80nm,80nm,120nm,120nm,120nm,170nm,170nm,170nm,220nm,220nm,220nm
DataValue,77332.04446592556,1.4551915228366852e-11,77332.04446592557,71452.19980152164,2.9103830456733704e-11,71452.19980152167,41707.16621012635,7.275957614183426e-12,41707.16621012636,16401.845207585862,7.275957614183426e-12,16401.845207585855,2535.133645632405,4.547473508864641e-13,2535.1336456324057
DataValue,110460.25104602508,2.9103830456733704e-11,110460.2510460251,85233.64485981307,1.4551915228366852e-11,85233.64485981308,3317.8717598908606,9.094947017729282e-13,3317.8717598908597,17498.346813164448,3.637978807091713e-12,17498.34681316445,3080.082135523614,0.0,3080.082135523614
DataValue,96091.20521172641,2.9103830456733704e-11,96091.20521172638,115012.96252651425,0.0,115012.96252651425,33603.8186157518,7.275957614183426e-12,33603.81861575179,13787.700744222477,5.4569682106375694e-12,13787.700744222482,1213.0401819560268,4.547473508864641e-13,1213.0401819560273
DataValue,99599.0715340789,1.4551915228366852e-11,99599.07153407892,66656.74750781133,0.0,66656.74750781133,2375.6495916852255,9.094947017729282e-13,2375.6495916852264,19288.17451205511,0.0,19288.17451205511,4318.877091956091,0.0,4318.877091956091
DataValue,101202.82040647033,0.0,101202.82040647033,63098.591549295794,1.4551915228366852e-11,63098.59154929578,50678.733031674215,7.275957614183426e-12,50678.73303167421,18467.893809610592,0.0,18467.893809610592,5698.6301369862995,2.7284841053187847e-12,5698.630136986302
DataValue,81906.18019359642,1.4551915228366852e-11,81906.18019359643,84167.65654165961,1.4551915228366852e-11,84167.6565416596,2836.400472733412,0.0,2836.400472733412,12636.012636012636,1.8189894035458565e-12,12636.012636012638,8746.583365872708,0.0,8746.583365872708
DataValue,105433.90105433902,1.4551915228366852e-11,105433.901054339,3809.334854421904,0.0,3809.334854421904,37858.03237858031,7.275957614183426e-12,37858.03237858032,18784.10965858612,3.637978807091713e-12,18784.109658586116,5432.937181663837,0.0,5432.937181663837
DataValue,85507.24637681158,0.0,85507.24637681158,77250.40916530279,0.0,77250.40916530279,35521.110842011796,7.275957614183426e-12,35521.11084201179,17900.90570058604,0.0,17900.90570058604,8157.13212407427,2.7284841053187847e-12,8157.132124074273
DataValue,86828.55040470931,2.9103830456733704e-11,86828.55040470934,62500.0,0.0,62500.0,3720.333547145606,0.0,3720.333547145606,13213.213213213217,5.4569682106375694e-12,13213.213213213212,3309.929789368105,4.547473508864641e-13,3309.9297893681046
DataValue,90200.9020090201,1.4551915228366852e-11,90200.90200902011,3480.4510847787515,4.547473508864641e-13,3480.451084778751,32722.314800787768,7.275957614183426e-12,32722.31480078776,15674.12402606279,1.8189894035458565e-12,15674.124026062787,676.7749072688227,1.1368683772161603e-13,676.7749072688229
